Вакансия,Зарплата,Ссылка,Сайт
Мастер цеха,по договоренности,https://perm.rabota.ru/vacancy/44013116/,https://perm.rabota.ru/
Слесарь по ремонту автотранспорта,до 100 000 руб.,https://perm.rabota.ru/vacancy/44720975/,https://perm.rabota.ru/
Слесарь,48 000 — 52 000 руб.,https://perm.rabota.ru/vacancy/44721591/,https://perm.rabota.ru/
Сборщик заказов,от 51 000 руб.,https://perm.rabota.ru/vacancy/44723840/,https://perm.rabota.ru/
Кладовщик,от 75 000 руб.,https://perm.rabota.ru/vacancy/43810031/,https://perm.rabota.ru/
Машинист экскаватора,80 000 — 100 000 руб.,https://perm.rabota.ru/vacancy/44710484/,https://perm.rabota.ru/
Машинист экскаватора,от 135 000 руб.,https://perm.rabota.ru/vacancy/44722855/,https://perm.rabota.ru/
Отделочник,40 000 — 100 000 руб.,https://perm.rabota.ru/vacancy/43811357/,https://perm.rabota.ru/
Главный бухгалтер,от 20 000 руб.,https://perm.rabota.ru/vacancy/44542732/,https://perm.rabota.ru/
Слесарь,от 35 000 руб.,https://perm.rabota.ru/vacancy/44676887/,https://perm.rabota.ru/
Водитель легкового автомобиля,70 000 — 80 000 руб.,https://perm.rabota.ru/vacancy/41380686/,https://perm.rabota.ru/
Продавец-кассир,от 30 000 руб.,https://perm.rabota.ru/vacancy/44699083/,https://perm.rabota.ru/
Упаковщик,72 000 — 96 000 руб.,https://perm.rabota.ru/vacancy/44640478/,https://perm.rabota.ru/
Заведующий хозяйством торговой базы,от 30 000 руб.,https://perm.rabota.ru/vacancy/44697625/,https://perm.rabota.ru/
Производственный мастер по сборке и испытаниям нестандартного оборудования,47 000 — 92 000 руб.,https://perm.rabota.ru/vacancy/44636064/,https://perm.rabota.ru/
Сварщик-монтажник,38 000 — 55 000 руб.,https://perm.rabota.ru/vacancy/44651814/,https://perm.rabota.ru/
Учитель математики,от 15 000 руб.,https://perm.rabota.ru/vacancy/44646906/,https://perm.rabota.ru/
Мебельщик,от 35 000 руб.,https://perm.rabota.ru/vacancy/44642135/,https://perm.rabota.ru/
Врач-анестезиолог-реаниматолог,от 140 000 руб.,https://perm.rabota.ru/vacancy/44489144/,https://perm.rabota.ru/
Повар-универсал,по договоренности,https://perm.rabota.ru/vacancy/44106392/,https://perm.rabota.ru/
Автоэлектрик,до 105 000 руб.,https://perm.rabota.ru/vacancy/44603412/,https://perm.rabota.ru/
Монтажник,82 500 — 115 000 руб.,https://perm.rabota.ru/vacancy/44727732/,https://perm.rabota.ru/
Швея,12 500 — 30 000 руб.,https://perm.rabota.ru/vacancy/44655326/,https://perm.rabota.ru/
Мастер по капитальному ремонту скважин,110 000 — 120 000 руб.,https://perm.rabota.ru/vacancy/42566138/,https://perm.rabota.ru/
Сварщик,82 000 — 86 000 руб.,https://perm.rabota.ru/vacancy/44609696/,https://perm.rabota.ru/
Токарь-расточник (4-6 разряд),45 000 — 70 000 руб.,https://perm.rabota.ru/vacancy/44204089/,https://perm.rabota.ru/
Слесарь-сборщик,85 000 — 90 000 руб.,https://perm.rabota.ru/vacancy/44627020/,https://perm.rabota.ru/
Водитель категории D,20 000 — 25 000 руб.,https://perm.rabota.ru/vacancy/44322547/,https://perm.rabota.ru/
Монтажник ПГП,25 000 — 70 000 руб.,https://perm.rabota.ru/vacancy/44712572/,https://perm.rabota.ru/
Врач-психиатр/врач-психиатр-нарколог,от 50 000 руб.,https://perm.rabota.ru/vacancy/43844618/,https://perm.rabota.ru/
Швея,25 000 — 40 000 руб.,https://perm.rabota.ru/vacancy/44716303/,https://perm.rabota.ru/
Юрист по банкротству,до 40 000 руб.,https://perm.rabota.ru/vacancy/44722296/,https://perm.rabota.ru/
Уборщик служебных помещений,9 000 — 12 000 руб.,https://perm.rabota.ru/vacancy/33097000/,https://perm.rabota.ru/
Водитель категории B,от 60 000 руб.,https://perm.rabota.ru/vacancy/42843799/,https://perm.rabota.ru/
Фасовщик(ца)-Упаковщик(ца),20 000 — 50 000 руб.,https://perm.rabota.ru/vacancy/43616247/,https://perm.rabota.ru/
Водитель-курьер,от 30 000 руб.,https://perm.rabota.ru/vacancy/44661264/,https://perm.rabota.ru/
Администратор гостиницы,14 000 — 22 000 руб.,https://perm.rabota.ru/vacancy/44694840/,https://perm.rabota.ru/
Водитель категории C,60 000 — 110 000 руб.,https://perm.rabota.ru/vacancy/44646054/,https://perm.rabota.ru/
Водитель в строительную компанию,60 000 — 110 000 руб.,https://perm.rabota.ru/vacancy/44517657/,https://perm.rabota.ru/
Пекарь,45 000 — 60 000 руб.,https://perm.rabota.ru/vacancy/44648556/,https://perm.rabota.ru/
Продавец-консультант (ТЦ Столица),20 000 — 25 000 руб.,https://perm.rabota.ru/vacancy/44039459/,https://perm.rabota.ru/
Старший аналитик,от 50 000 руб.,https://perm.rabota.ru/vacancy/44712316/,https://perm.rabota.ru/
Слесарь-механик ГПМ (металлопрокат),30 000 — 35 000 руб.,https://perm.rabota.ru/vacancy/44695473/,https://perm.rabota.ru/
Менеджер по работе с клиентами,от 26 000 руб.,https://perm.rabota.ru/vacancy/44645148/,https://perm.rabota.ru/
Специалист по продажам автозапчастей,от 40 000 руб.,https://perm.rabota.ru/vacancy/44726309/,https://perm.rabota.ru/
Менеджер по продажам,20 000 — 40 000 руб.,https://perm.rabota.ru/vacancy/44700245/,https://perm.rabota.ru/
Продавец,от 30 000 руб.,https://perm.rabota.ru/vacancy/44723631/,https://perm.rabota.ru/
Продавец,по договоренности,https://perm.rabota.ru/vacancy/44710747/,https://perm.rabota.ru/
Оператор call-центра (удалённо),до 25 000 руб.,https://perm.rabota.ru/vacancy/44527616/,https://perm.rabota.ru/
Консультант по продажам лицензионного ПО,25 000 — 65 000 руб.,https://perm.rabota.ru/vacancy/44712622/,https://perm.rabota.ru/
Оператор call-центра,от 79 000 руб.,https://perm.rabota.ru/vacancy/39374228/,https://perm.rabota.ru/
Менеджер по продажам,55 000 — 75 000 руб.,https://perm.rabota.ru/vacancy/44233335/,https://perm.rabota.ru/
Оператор-наладчик станков с ЧПУ,50 000 — 55 000 руб.,https://perm.rabota.ru/vacancy/44645348/,https://perm.rabota.ru/
Менеджер по продажам,от 70 000 руб.,https://perm.rabota.ru/vacancy/44286270/,https://perm.rabota.ru/
Менеджер проектов по профессиональному подбору,по договоренности,https://perm.rabota.ru/vacancy/44656530/,https://perm.rabota.ru/
Охранник,от 60 000 руб.,https://perm.rabota.ru/vacancy/43967628/,https://perm.rabota.ru/
Швея,от 25 000 руб.,https://perm.rabota.ru/vacancy/44652130/,https://perm.rabota.ru/
Сварщик НАКС (вахта),114 000 — 120 000 руб.,https://perm.rabota.ru/vacancy/43946005/,https://perm.rabota.ru/
Кладовщик (вахта),от 40 000 руб.,https://perm.rabota.ru/vacancy/44715771/,https://perm.rabota.ru/
